brand,cc,mileage,name,power,price,rating,type
Harley Davidson,1252 cc,19.6 kmpl,Harley Davidson Sportster S,122.3 PS,Rs.16.49 Lakh*(View On Road Price),4.4/5,bike
Harley Davidson,1868 cc,18.1 kmpl,Harley Davidson Fat Boy 114,95.1 PS,Rs.25.69 Lakh*(View On Road Price),4.5/5,bike
Harley Davidson,975 cc,18.1 kmpl,Harley Davidson Nightster,89.7 PS,Rs.13.39 - 14.09 Lakh*(View On Road Price),4.3/5,bike
Harley Davidson,1868 cc,18.1 kmpl,Harley Davidson Fat Bob 114,93.8 PS,Rs.21.49 Lakh*(View On Road Price),4.7/5,bike
Harley Davidson,1923 cc,17.85 kmpl,Harley-Davidson Breakout 117,103.33 PS,Rs.30.99 Lakh*(View On Road Price),4.4/5,bike
Harley Davidson,1252 cc,18.33 kmpl,Harley Davidson Pan America 1250,152 PS,Rs.24.64 Lakh*(View On Road Price),4.8/5,bike
Harley Davidson,1868 cc,16.3 kmpl,Harley Davidson Road Glide,93.8 PS,Rs.41.79 Lakh*(View On Road Price),4.6/5,bike
Harley Davidson,1868 cc,18.1 kmpl,Harley Davidson Heritage Classic,95.1 PS,Rs.27.19 Lakh*(View On Road Price),4.0/5,bike
Harley Davidson,1868 cc,16.3 kmpl,Harley Davidson Street Glide,93.8 PS,Rs.38.79 Lakh*(View On Road Price),4.2/5,bike
Ather,5.45 Hr,6.4 kW,Ather 450X,,Rs.1.49 - 1.79 Lakh*(View On Road Price),4.7/5,bike
Ather,6.1 Hr,4.3 kW,Ather Rizta,,Rs.1.10 - 1.49 Lakh*(View On Road Price),4.5/5,bike
Ather,7.45 Hr,5.4 kW,Ather 450S,,Rs.1.22 - 1.36 Lakh*(View On Road Price),4.5/5,bike
Ather,5.45 Hr,7 kW,Ather 450 Apex,,Rs.1.90 Lakh*(View On Road Price),4.8/5,bike
Aprilia,457 cc,30 kmpl,Aprilia RS 457,47.58 PS,Rs.4.23 Lakh*(View On Road Price),4.4/5,bike
Aprilia,457 cc,25.5 kmpl,Aprilia Tuono 457,47.58 PS,Rs.3.95 Lakh*(View On Road Price),4.4/5,bike
Aprilia,160.03 cc,35 kmpl,Aprilia SR 160,11.27 PS,Rs.1.32 - 1.41 Lakh*(View On Road Price),4.1/5,bike
Aprilia,1099 cc,15.4 kmpl,Aprilia RSV4,216.85 PS,Rs.31.26 Lakh*(View On Road Price),4.2/5,bike
Aprilia,659 cc,20.4 kmpl,Aprilia RS 660,100 PS,Rs.17.74 Lakh*(View On Road Price),4.3/5,bike
Aprilia,124.45 cc,40 kmpl,Aprilia SR 125,10.11 PS,Rs.1.23 Lakh*(View On Road Price),4.3/5,bike
Aprilia,160.03 cc,35 kmpl,Aprilia SXR 160,11.09 PS,Rs.1.44 Lakh*(View On Road Price),4.0/5,bike
Aprilia,125 cc,40 kmpl,Aprilia SXR 125,9.61 PS,Rs.1.33 Lakh*(View On Road Price),4.0/5,bike
Aprilia,124.49 cc,38.5 kmpl,Aprilia SR Storm,9.92 PS,Rs.1.15 Lakh*(View On Road Price),4.5/5,bike
Ducati,1103 cc,15.38 kmpl,Ducati Panigale V4,218.99 PS,Rs.29.99 - 36.50 Lakh*(View On Road Price),4.7/5,bike
Ducati,937 cc,18.9 kmpl,Ducati Monster,112.54 PS,Rs.12.95 - 15.95 Lakh*(View On Road Price),4.5/5,bike
Ducati,1103 cc,13.2 kmpl,Ducati Streetfighter V4,208 PS,Rs.24.62 - 28 Lakh*(View On Road Price),4.3/5,bike
Ducati,1158 cc,18.2 kmpl,Ducati Diavel V4,170.33 PS,Rs.27.21 Lakh*(View On Road Price),4.7/5,bike
Ducati,803 cc,19.2 kmpl,Ducati Scrambler 800,74.01 PS,Rs.9.97 - 12.60 Lakh*(View On Road Price),4.5/5,bike
Ducati,937 cc,17 kmpl,Ducati SuperSport 950,110.1 PS,Rs.16.06 - 19.11 Lakh*(View On Road Price),4.3/5,bike
Ducati,1103 cc,13.6 kmpl,Ducati Multistrada V4,182.4 PS,Rs.21.48 - 40.67 Lakh*(View On Road Price),3.0/5,bike
Ducati,937 cc,19.6 kmpl,Ducati Hypermotard 950,114.2 PS,Rs.16 - 19.05 Lakh*(View On Road Price),4.5/5,bike
Ducati,955 cc,16.7 kmpl,Ducati Streetfighter V2,155.12 PS,Rs.18.50 Lakh*(View On Road Price),4.1/5,bike
Ducati,1079 cc,20 kmpl,Ducati Scrambler 1100,85.65 PS,Rs.13.40 - 15.99 Lakh*(View On Road Price),4.7/5,bike
Ducati,955 cc,16.6 kmpl,Ducati Panigale V2,157.15 PS,Rs.20.98 - 24.13 Lakh*(View On Road Price),4.5/5,bike
Ducati,937 cc,16.9 kmpl,Ducati Multistrada V2,114.5 PS,Rs.16.35 - 18.99 Lakh*(View On Road Price),4.4/5,bike
Ducati,937 cc,17.8 kmpl,Ducati DesertX,111.52 PS,Rs.18.33 - 23.71 Lakh*(View On Road Price),4.4/5,bike
Ola Electric,6 Hr,5.5 kW,Ola S1 Pro,,Rs.1.16 - 1.36 Lakh*(View On Road Price),4.2/5,bike
Ola Electric,6 Hr,5.5 kW,Ola S1 X,,"Rs.65,499 - 92,999*(View On Road Price)",4.6/5,bike
Ola Electric,7.9 Hr,13 kW,Ola Roadster,,Rs.1.05 - 1.40 Lakh*(View On Road Price),4.5/5,bike
Ola Electric,,3 kW,Ola S1 Z,,"Rs.59,999 - 64,999*(View On Road Price)",4.6/5,bike
Ola Electric,6 Hr,5.5 kW,Ola S1 X Plus,,Rs.1.10 Lakh*(View On Road Price),4.3/5,bike
Ola Electric,5 Hr,2.7 kW,Ola S1 Air,,"Rs.89,999*(View On Road Price)",4.2/5,bike
Ola Electric,,7 kW,Ola Roadster X,,"Rs.84,999 - 1.05 Lakh*(View On Road Price)",4.7/5,bike
Ola Electric,,1.5 kW,Ola Gig,,"Rs.39,999 - 49,999*(View On Road Price)",3.9/5,bike
Ola Electric,,11 kW,Ola Roadster X+,,Rs.1.15 - 1.85 Lakh*(View On Road Price),4.7/5,bike
Ola Electric,7.5 Hr,52 kW,Ola Roadster Pro,,Rs.2 - 2.50 Lakh*(View On Road Price),4.8/5,bike
Ola Electric,8.4 Hr,5.5 kW,Ola S1 Pro Plus,,Rs.1.48 - 1.88 Lakh*(View On Road Price),4.8/5,bike
Keeway,125 cc,50 kmpl,Keeway SR125,9.83 PS,Rs.1.20 Lakh*(View On Road Price),4.3/5,bike
Keeway,298 cc,37.03 kmpl,Keeway V302C,29.9 PS,Rs.4.29 Lakh*(View On Road Price),3.9/5,bike
Keeway,223 cc,40 kmpl,Keeway SR 250,17 PS,Rs.1.49 Lakh*(View On Road Price),4.2/5,bike
Keeway,292.4 cc,40 kmpl,Keeway K300 SF,27.88 PS,Rs.1.69 Lakh*(View On Road Price),4.2/5,bike
Keeway,249 cc,32 kmpl,Keeway K-Light 250V,18.95 PS,Rs.3.20 Lakh*(View On Road Price),4.0/5,bike
Keeway,292.4 cc,32.30 kmpl,Keeway K300 R,27.88 PS,Rs.2.65 Lakh*(View On Road Price),4.1/5,bike
Keeway,278.2 cc,21.56 kmpl,Keeway Vieste 300,18.95 PS,Rs.3.25 Lakh*(View On Road Price),3.9/5,bike
Keeway,278.2 cc,27.73 kmpl,Keeway Sixties 300i,18.95 PS,Rs.3.30 Lakh*(View On Road Price),4.1/5,bike
Revolt,,4.1 kW,Revolt RV400,,Rs.1.24 Lakh*(View On Road Price),4.5/5,bike
Revolt,,2.8 kW,Revolt RV1,,"Rs.89,990 - 1.05 Lakh*(View On Road Price)",4.5/5,bike
Revolt,,4.1 kW,Revolt RV BlazeX,,Rs.1.20 Lakh*(View On Road Price),4.7/5,bike
Revolt,4.5 Hr,3 kW,Revolt RV400 BRZ,,Rs.1.14 Lakh*(View On Road Price),4.1/5,bike
Oben Electric,,8 kW,Oben Rorr,,Rs.1.19 Lakh*(View On Road Price),4.4/5,bike
Oben Electric,7 Hr,7.5 kW,Oben Rorr EZ,,"Rs.89,999 - 1.20 Lakh*(View On Road Price)",4.6/5,bike
Hero Electric,4.5 Hr,1.2 kW,Hero Electric Optima,,"Rs.83,300 - 1.04 Lakh*(View On Road Price)",3.9/5,bike
Hero Electric,4-5 Hr,250 W,Hero Electric Flash,,"Rs.59,640*(View On Road Price)",3.9/5,bike
Hero Electric,4-5 Hr,250 W,Hero Electric Atria,,"Rs.77,690*(View On Road Price)",4.2/5,bike
Hero Electric,5 Hr,1.8 kW,Hero Electric Photon,,Rs.1.11 Lakh*(View On Road Price),3.7/5,bike
Vespa,124.45 cc,45 kmpl,Vespa ZX,9.77 PS,Rs.1.17 Lakh*(View On Road Price),4.1/5,bike
Benelli,500 cc,30.16 kmpl,Benelli TRK 502,47.5 PS,Rs.5.85 - 6.85 Lakh*(View On Road Price),4.2/5,bike
Benelli,500 cc,26.52 kmpl,Benelli 502 C,47.5 PS,Rs.5.25 Lakh*(View On Road Price),4.3/5,bike
Benelli,500 cc,23 kmpl,Benelli Leoncino 500,47.5 PS,Rs.4.99 Lakh*(View On Road Price),4.4/5,bike
Indian,1133 cc,25 kmpl,Indian Scout Bobber,106.45 PS,Rs.17.17 - 17.37 Lakh*(View On Road Price),4.3/5,bike
Indian,1768 cc,18 kmpl,Indian Challenger Dark Horse,122.5 PS,Rs.36.97 - 37.07 Lakh*(View On Road Price),4.3/5,bike
Indian,1203 cc,18 kmpl,Indian FTR,124.7 PS,Rs.19.38 - 22.03 Lakh*(View On Road Price),4.0/5,bike
Indian,1133 cc,25 kmpl,Indian Scout,127.8 PS,Rs.17.83 - 18.33 Lakh*(View On Road Price),4.2/5,bike
Indian,1133 cc,25 kmpl,Indian Scout Rogue,95.1 PS,Rs.17.28 - 17.41 Lakh*(View On Road Price),5.0/5,bike
Indian,1890 cc,20 kmpl,Indian Springfield,171 Nm @ 3000 rpm,Rs.32.73 - 33.05 Lakh*(View On Road Price),4.3/5,bike
Indian,1811 cc,15 kmpl,Indian Roadmaster Elite,151 Nm @ 3000 rpm,Rs.71.82 Lakh*(View On Road Price),4.5/5,bike
Indian,1890 cc,20 kmpl,Indian Chieftain Limited,171 Nm @ 3000 rpm,Rs.34.26 - 34.40 Lakh*(View On Road Price),5.0/5,bike
Indian,1890 cc,20 kmpl,Indian Chief Dark Horse,122 PS,Rs.22.13 - 22.25 Lakh*(View On Road Price),4.5/5,bike
Indian,1890 cc,14 kmpl,Indian Super Chief Limited,88 PS,Rs.24.33 - 24.35 Lakh*(View On Road Price),4.2/5,bike
Indian,1890 cc,20 kmpl,Indian Chief Bobber Dark Horse,122 PS,Rs.22.82 - 22.86 Lakh*(View On Road Price),4.5/5,bike
Indian,1890 cc,20 kmpl,Indian Roadmaster,74 PS,Rs.43.49 - 46.77 Lakh*(View On Road Price),4.2/5,bike
Indian,1890 cc,20 kmpl,Indian Springfield Dark Horse,171 Nm @ 3000 rpm,Rs.29.56 - 30.29 Lakh*(View On Road Price),4.4/5,bike
Indian,1890 cc,13.54 kmpl,Indian Chieftain Dark Horse,122 PS,Rs.32 - 33.87 Lakh*(View On Road Price),3.7/5,bike
Indian,1768 cc,14 kmpl,Indian Pursuit Limited,122.36 PS,Rs.42.03 - 47.37 Lakh*(View On Road Price),4.0/5,bike
Okinawa,2-3 Hr,1 kW,Okinawa PraisePro,,"Rs.84,443*(View On Road Price)",3.8/5,bike
Okinawa,5-6 Hr,2.5 kW,Okinawa Dual 100,,Rs.1.19 Lakh*(View On Road Price),4.0/5,bike
Okinawa,4-5 Hr,250 W,Okinawa Lite,,"Rs.69,093*(View On Road Price)",3.9/5,bike
Okinawa,4-5 Hr,2.7 kW,Okinawa iPraise+,,Rs.1.23 Lakh*(View On Road Price),4.1/5,bike
Okinawa,5-6 Hr,800 W,Okinawa Ridge,,"Rs.70,096 - 1.15 Lakh*(View On Road Price)",3.8/5,bike
Okinawa,4-5 Hr,250 W,Okinawa R30,,"Rs.61,998*(View On Road Price)",4.1/5,bike
Okinawa,5-6 Hr,3.8 kW,Okinawa Okhi90,,Rs.1.50 Lakh*(View On Road Price),4.3/5,bike
Ultraviolette,,14.91 kW,Ultraviolette Tesseract,,Rs.1.20 Lakh*(View On Road Price),5.0/5,bike
Ultraviolette,,30 kW,Ultraviolette F77,,Rs.2.99 - 3.99 Lakh*(View On Road Price),4.5/5,bike
Ultraviolette,,30 kW,Ultraviolette F77 SuperStreet,,Rs.2.99 - 3.99 Lakh*(View On Road Price),4.8/5,bike
Benling India,4 Hr,3.2 kW,Benling Aura,,Rs.1.22 Lakh*(View On Road Price),3.1/5,bike
Benling India,4 Hr,250 W,Benling Falcon,,"Rs.69,540*(View On Road Price)",3.6/5,bike
Benling India,4 Hr,250 W,Benling Kriti,,"Rs.64,151*(View On Road Price)",5.0/5,bike
PURE EV,,1.2 kW,PURE EV Epluto 7G,,"Rs.77,999 - 92,999*(View On Road Price)",3.2/5,bike
PURE EV,,2.2 kW,PURE EV Epluto 7G Max,,Rs.1.15 Lakh*(View On Road Price),3.4/5,bike
PURE EV,6 Hr,4 kW,PURE EV eTryst 350,,Rs.1.30 Lakh*(View On Road Price),3.7/5,bike
PURE EV,,1.2 kW,PURE EV ETrance Neo,,"Rs.73,999 - 96,999*(View On Road Price)",2.8/5,bike
PURE EV,4-6 Hr,3 kW,PURE EV EcoDryft,,"Rs.99,999 - 1.10 Lakh*(View On Road Price)",3.5/5,bike
Komaki,,,Komaki X One,,"Rs.35,999 - 59,999*(View On Road Price)",4.6/5,bike
Komaki,4-5 Hr,5 kW,Komaki Ranger,,Rs.1.86 Lakh*(View On Road Price),4.4/5,bike
Komaki,,4-5 Hr,Komaki XGT CAT 2.0,,"Rs.74,999 - 1.14 Lakh*(View On Road Price)",4.5/5,bike
Komaki,,4-5 Hr,Komaki XGT KM,,"Rs.56,890 - 93,045*(View On Road Price)",4.1/5,bike
Komaki,4-5 Hr,3 kW,Komaki Flora,,"Rs.61,000*(View On Road Price)",4.3/5,bike
Komaki,,4-5 Hr,Komaki XGT X5,,Rs.1 Lakh*(View On Road Price),5.0/5,bike
Komaki,,4-5 Hr,Komaki SE,,"Rs.59,999 - 1.18 Lakh*(View On Road Price)",4.6/5,bike
Komaki,,3 kW,Komaki X3,,"Rs.52,999*(View On Road Price)",5.0/5,bike
Komaki,,,Komaki XR1,,"Rs.29,999*(View On Road Price)",2.9/5,bike
Komaki,,4-5 Hr,Komaki XGT X4,,Rs.1.02 - 1.24 Lakh*(View On Road Price),4.7/5,bike
Komaki,,3 kW,Komaki LY,,"Rs.74,844 - 1.07 Lakh*(View On Road Price)",5.0/5,bike
Komaki,,4-5 Hr,Komaki X2 Vogue,,"Rs.62,311 - 88,500*(View On Road Price)",5.0/5,bike
Komaki,,4-5 Hr,Komaki XGT Classic,,Rs.1.09 Lakh*(View On Road Price),4.0/5,bike
Komaki,,4-5 Hr,Komaki CAT 2.0 NXT,,"Rs.74,999 - 99,500*(View On Road Price)",3.7/5,bike
Komaki,5 Hr,3 kW,Komaki Venice,,Rs.1.04 - 1.68 Lakh*(View On Road Price),4.4/5,bike
Komaki,4-5 Hr,3 kW,Komaki DT 3000,,Rs.1.12 Lakh*(View On Road Price),4.8/5,bike
Komaki,,4-5 Hr,Komaki XGT VP,,"Rs.59,999 - 65,999*(View On Road Price)",4.5/5,bike
Komaki,4-5 Hr,5 kW,Komaki TN-95,,Rs.1.19 - 1.40 Lakh*(View On Road Price),4.7/5,bike
Komaki,,4-5 Hr,Komaki MX3,,Rs.1.15 Lakh*(View On Road Price),4.5/5,bike
EeVe,6-7 Hr,250 W,EeVe Wind,,"Rs.59,999*(View On Road Price)",4.0/5,bike
EeVe,6-7 Hr,250 W,EeVe Ahava,,"Rs.62,499*(View On Road Price)",4.2/5,bike
EeVe,4-5 Hr,1.2 kW,EeVe Soul,,Rs.1.20 Lakh*(View On Road Price),5.0/5,bike
EeVe,3-4 Hr,250 W,EeVe Xeniaa,,"Rs.79,999 - 86,999*(View On Road Price)",4.3/5,bike
Hero Lectro,4-5 Hr,250 W,Hero Lectro Muv-E,,"Rs.61,999*(View On Road Price)",4.5/5,bike
Hero Lectro,7 Hr,250 W,Hero Lectro WINN,,"Rs.49,999*(View On Road Price)",4.2/5,bike
Hero Lectro,5.5 Hr,250 W,Hero Lectro H7,,"Rs.33,499 - 40,999*(View On Road Price)",4.6/5,bike
Hero Lectro,4 Hr,250 W,Hero Lectro H4,,"Rs.32,499 - 35,499*(View On Road Price)",5.0/5,bike
Hero Lectro,2.5 Hr,250 W,Hero Lectro H5,,"Rs.26,999 - 31,999*(View On Road Price)",4.5/5,bike
Hero Lectro,6 Hr,250 W,Hero Lectro F6i,,"Rs.60,999*(View On Road Price)",4.0/5,bike
Hero Lectro,8 Hr,250 W,Hero Lectro WINN-X,,"Rs.49,999*(View On Road Price)",4.3/5,bike
Hero Lectro,2.5 Hr,250 W,Hero Lectro H3,,"Rs.27,999 - 30,999*(View On Road Price)",3.8/5,bike
BattRE Electric Mobility,,2.5 Hr,BattRE Electric LoEV,,"Rs.59,900 - 1.03 Lakh*(View On Road Price)",4.1/5,bike
BattRE Electric Mobility,5.2 Hr,2.4 kW,BattRE Electric Storie,,"Rs.94,999 - 1.15 Lakh*(View On Road Price)",4.4/5,bike
BattRE Electric Mobility,,2.5 Hr,BattRE Electric ONE,,"Rs.73,900 - 1.08 Lakh*(View On Road Price)",4.2/5,bike
Joy e-bike,5-5.5 Hr,1 kW,Joy e-bike Gen Next Nanu,,"Rs.56,699 - 67,304*(View On Road Price)",3.0/5,bike
Joy e-bike,9 Hr,5 kW,Joy e-bike Beast,,Rs.2.42 Lakh*(View On Road Price),4.5/5,bike
Joy e-bike,5-5.5 Hr,1 kW,Joy e-bike Wolf,,"Rs.57,749 - 68,354*(View On Road Price)",4.3/5,bike
Joy e-bike,3.5 Hr,250 W,Joy e-bike Glob,,"Rs.70,000*(View On Road Price)",4.3/5,bike
Joy e-bike,4-5 Hr,1.5 kW,Joy e-bike Gen Next Nanu Plus,,"Rs.73,604*(View On Road Price)",4.4/5,bike
Joy e-bike,5 Hr,1.5 kW,Joy e-bike Mihos,,Rs.1.13 Lakh*(View On Road Price),4.8/5,bike
Joy e-bike,8 Hr,5 kW,Joy e-bike Hurricane,,Rs.2.33 Lakh*(View On Road Price),3.8/5,bike
Joy e-bike,4-5 Hr,1.5 kW,Joy e-bike Wolf Plus,,"Rs.74,654*(View On Road Price)",4.7/5,bike
Joy e-bike,9 Hr,5 kW,Joy e-bike Thunderbolt,,Rs.2.33 Lakh*(View On Road Price),4.5/5,bike
BGauss,4.15-4.3 Hr,2.5 kW,Bgauss C12i,,Rs.1.05 - 1.35 Lakh*(View On Road Price),3.9/5,bike
BGauss,6.5 Hr,3.5 kW,BGauss RUV 350,,Rs.1.15 - 1.40 Lakh*(View On Road Price),4.7/5,bike
Ujaas Energy,6-7 Hr,250 W,Ujaas eGo LA,,"Rs.39,880*(View On Road Price)",4.5/5,bike
Ujaas Energy,6-7 Hr,250 W,Ujaas eSpa LA,,"Rs.48,174*(View On Road Price)",4.9/5,bike
Ujaas Energy,3-4 Hr,250 W,Ujaas eGo T3,,"Rs.59,724 - 70,224*(View On Road Price)",3.9/5,bike
Ujaas Energy,3-4 Hr,250 W,Ujaas eSpa Li,,"Rs.54,880*(View On Road Price)",5.0/5,bike
Ujaas Energy,3-4 Hr,250 W,Ujaas eGo Li,,"Rs.53,880*(View On Road Price)",4.7/5,bike
ADMS,4-8 Hr,1.2 kW,ADMS Mantra,,"Rs.98,000*(View On Road Price)",4.2/5,bike
ADMS,4-8 Hr,1 kW,ADMS GTR,,"Rs.79,800*(View On Road Price)",4.8/5,bike
ADMS,,2.5 kW,ADMS EVA,,Rs.1.35 Lakh*(View On Road Price),4.6/5,bike
ADMS,4-5 Hr,2 kW,ADMS Phantom,,Rs.1.33 Lakh*(View On Road Price),5.0/5,bike
ADMS,3-4 Hr,250 W,ADMS Marvel,,"Rs.97,000*(View On Road Price)",4.7/5,bike
ADMS,4-8 Hr,1.2 kW,ADMS DB,,Rs.1.33 Lakh*(View On Road Price),5.0/5,bike
ADMS,4-8 Hr,250 W,ADMS TTX,,Rs.1.15 Lakh*(View On Road Price),4.8/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Jaunty-3W,,"Rs.81,669*(View On Road Price)",4.6/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Jaunty,,"Rs.62,964 - 90,064*(View On Road Price)",4.6/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Brisk,,"Rs.62,913*(View On Road Price)",4.0/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Inspirer,,"Rs.53,951 - 86,626*(View On Road Price)",4.5/5,bike
AMO Electric,4 Hr,1.27 kW,AMO Electric Jaunty Plus,,Rs.1.08 Lakh*(View On Road Price),5.0/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Jaunty Pro,,"Rs.69,256*(View On Road Price)",4.3/5,bike
Aeroride,,,Aeroride YB2000,,"Rs.97,100 - 1.30 Lakh*(View On Road Price)",3.7/5,bike
Aftek Motors,4.5 Hr,3 kW,Aftek Elmo,,Rs.1.10 Lakh*(View On Road Price),1.0/5,bike
Ampere Electric,5 Hr,2.1 kW,Ampere Magnus EX,,"Rs.84,900*(View On Road Price)",3.8/5,bike
Ampere Electric,5-6 Hr,1.5 kW,Ampere Magnus Neo,,"Rs.79,999*(View On Road Price)",4.2/5,bike
Ampere Electric,3.3 Hr,3.3 kW,Ampere Nexus,,Rs.1.15 - 1.25 Lakh*(View On Road Price),4.1/5,bike
Ampere Electric,5.3 Hr,250 W,Ampere Reo,,"Rs.49,900 - 59,900*(View On Road Price)",4.3/5,bike
Ampere Electric,5 Hr,3.4 kW,Ampere Primus,,Rs.1.20 Lakh*(View On Road Price),4.1/5,bike
Ampere Electric,5 Hr,1.8 kW,Ampere Zeal EX,,"Rs.86,690*(View On Road Price)",4.1/5,bike
Atumobile,3-4 Hr,250 W,Atumobile Atum Version 1.0,,"Rs.61,500*(View On Road Price)",3.7/5,bike
Atumobile,4 Hr,3 kW,Atumobile AtumVader,,Rs.1.09 - 1.39 Lakh*(View On Road Price),4.5/5,bike
BNC Motors,,3 kW,BNC Motors Challenger,,"Rs.99,900 - 1.45 Lakh*(View On Road Price)",4.5/5,bike
BSA,652 cc,25 kmpl,BSA Gold Star,45.62 PS,Rs.3.10 - 3.45 Lakh*(View On Road Price),4.5/5,bike
Bounce,3-4 Hr,2.2 kW,Bounce Infinity E.1,,"Rs.59,000 - 1.26 Lakh*(View On Road Price)",4.1/5,bike
Brixton Motorcycles,1222 cc,21.7 kmpl,Brixton Cromwell 1200,83 PS,Rs.7.84 - 9.11 Lakh*(View On Road Price),3.8/5,bike
Brixton Motorcycles,486 cc,25 kmpl,Brixton Crossfire 500,47.58 PS,Rs.4.74 - 5.19 Lakh*(View On Road Price),4.4/5,bike
CFMoto,649 cc,20 kmpl,CFMoto 650MT,70.70 PS,Rs.5.29 Lakh*(View On Road Price),4.0/5,bike
CFMoto,649.3 cc,20 kmpl,CFMoto 650GT,62.54 PS,Rs.5.59 Lakh*(View On Road Price),3.7/5,bike
CFMoto,292.4 cc,33 kmpl,CFMoto 300NK,33.99 PS,Rs.2.29 Lakh*(View On Road Price),3.6/5,bike
CFMoto,649.3 cc,20 kmpl,CFMoto 650NK,61.18 PS,Rs.4.29 Lakh*(View On Road Price),4.5/5,bike
Crayon Motors,,250 W,Crayon Zeez,,"Rs.51,760 - 64,075*(View On Road Price)",4.4/5,bike
DAO,,250 W,DAO Zor 405,,"Rs.89,184 - 1.19 Lakh*(View On Road Price)",4.0/5,bike
DAO,,2.5 kW,DAO Model 703,,"Rs.99,999*(View On Road Price)",4.0/5,bike
DAO,,250 W,DAO Vidyut 108,,"Rs.86,449*(View On Road Price)",4.5/5,bike
Deltic,3-4 Hr,250 W,Deltic Drixx,,"Rs.64,990 - 91,990*(View On Road Price)",4.0/5,bike
Deltic,3-4 Hr,250 W,Deltic Legion,,"Rs.69,490 - 95,990*(View On Road Price)",4.2/5,bike
Deltic,5-6 Hr,2 kW,Deltic ZGS,,Rs.1.02 Lakh*(View On Road Price),4.1/5,bike
Deltic,5-6 Hr,3 kW,Deltic Trento,,Rs.1.28 Lakh*(View On Road Price),4.1/5,bike
E-Went,4-5 Hr,250 W,E-Went Rabbitor,,"Rs.60,100 - 83,000*(View On Road Price)",4.3/5,bike
EMotorad,3-4 Hr,250 W,EMotorad X2,,"Rs.27,999*(View On Road Price)",4.4/5,bike
EMotorad,3-4 Hr,250 W,EMotorad X3,,"Rs.34,999*(View On Road Price)",4.3/5,bike
EMotorad,5-7 Hr,250 W,EMotorad Doodle,,"Rs.49,999 - 52,999*(View On Road Price)",3.8/5,bike
EMotorad,3-4 Hr,250 W,EMotorad Neo,,"Rs.25,999*(View On Road Price)",3.7/5,bike
EMotorad,3-4 Hr,250 W,EMotorad X1,,"Rs.24,999 - 27,999*(View On Road Price)",4.4/5,bike
EMotorad,3-4 Hr,250 W,EMotorad Legend O7,,"Rs.29,999*(View On Road Price)",3.8/5,bike
EMotorad,4-5 Hr,250 W,EMotorad T-Rex Air,,"Rs.34,999*(View On Road Price)",3.8/5,bike
EMotorad,5-7 Hr,250 W,EMotorad EMX,,"Rs.54,999*(View On Road Price)",4.4/5,bike
Elecson,,350 W,Elecson Folding,,"Rs.24,999 - 25,499*(View On Road Price)",4.8/5,bike
Elecson,,250 W,Elecson Ladybird,,"Rs.27,499*(View On Road Price)",4.6/5,bike
Elecson,,250 W,Elecson Eco,,"Rs.18,499*(View On Road Price)",4.7/5,bike
Enigma,4-5 Hr,1.5 kW,Enigma Ambier N8,,"Rs.95,000 - 1.05 Lakh*(View On Road Price)",4.0/5,bike
Essel Energy,6-7 Hr,250 W,Essel Energy GET 1,,"Rs.37,500 - 41,500*(View On Road Price)",4.0/5,bike
Essel Energy,5-6 Hr,250 W,Essel Energy GET 1+,,"Rs.81,314 - 86,930*(View On Road Price)",3.8/5,bike
Essel Energy,,250 W,Essel Energy Wind,,"Rs.54,600 - 73,650*(View On Road Price)",3.7/5,bike
Fidato Evtech,,4-5 Hr,Fidato Evtech Easy Go,,"Rs.86,315*(View On Road Price)",2.9/5,bike
Fidato Evtech,,3-4 Hr,Fidato Evtech Cutie,,"Rs.54,600*(View On Road Price)",4.4/5,bike
Fidato Evtech,,4-5 Hr,Fidato Evtech Future 2020,,"Rs.70,300*(View On Road Price)",3.5/5,bike
Flycon Motors,,3-4 Hr,Flycon Empire +,,"Rs.89,999 - 1.33 Lakh*(View On Road Price)",4.4/5,bike
Flycon Motors,,3-4 Hr,Flycon Empire,,"Rs.79,900*(View On Road Price)",4.2/5,bike
Flycon Motors,,6-7 Hr,Flycon Grove,,"Rs.74,629 - 80,957*(View On Road Price)",3.7/5,bike
Fujiyama,,250 W,Fujiyama Spectra,,"Rs.51,528 - 77,119*(View On Road Price)",4.5/5,bike
Fujiyama,5 Hr,3.7 kW,Fujiyama Ozone,,"Rs.99,918*(View On Road Price)",4.0/5,bike
Fujiyama,,250 W,Fujiyama Spectra Pro,,"Rs.54,384 - 79,975*(View On Road Price)",2.8/5,bike
GT Force,,4-5 Hr,GT One Plus Pro,,"Rs.76,999*(View On Road Price)",4.7/5,bike
GT Force,,4-5 Hr,GT RYD Plus,,"Rs.68,999*(View On Road Price)",3.7/5,bike
GT Force,,4-5 Hr,GT Drive Pro,,"Rs.85,999*(View On Road Price)",4.1/5,bike
GT Force,,4-5 Hr,GT Texa,,Rs.1.20 Lakh*(View On Road Price),4.3/5,bike
GT Force,,4-5 Hr,GT Vegas,,"Rs.57,999*(View On Road Price)",3.8/5,bike
